维度,模型,评分,等级,备注
工具调用稳定性,Claude Opus 4.5,5.0,⭐⭐⭐⭐⭐,50-75%错误减少
工具调用稳定性,Claude Sonnet 4.5,4.5,⭐⭐⭐⭐,显著错误减少
工具调用稳定性,GPT-5,5.0,⭐⭐⭐⭐⭐,τ2-bench 97%
工具调用稳定性,Gemini 3 Pro,3.5,⭐⭐⭐⭐,Terminal-Bench 54.2%
工具调用稳定性,MiniMax M2.1,3.0,⭐⭐⭐,中等稳定性
工具调用稳定性,Kimi K2.5,3.0,⭐⭐⭐,中等稳定性
代码生成质量,Claude Opus 4.5,5.0,⭐⭐⭐⭐⭐,SWE-bench最高分
代码生成质量,Claude Sonnet 4.5,4.5,⭐⭐⭐⭐,高质量
代码生成质量,GPT-5,4.5,⭐⭐⭐⭐,高质量
代码生成质量,Gemini 3 Pro,4.0,⭐⭐⭐⭐,35%准确率提升
代码生成质量,Kimi K2.5,3.5,⭐⭐⭐⭐,略优于MiniMax
代码生成质量,MiniMax M2.1,3.5,⭐⭐⭐⭐,国内第一梯队
深度推理能力,Claude Opus 4.5,5.0,⭐⭐⭐⭐⭐,多代理搜索92.3%
深度推理能力,Claude Sonnet 4.5,4.5,⭐⭐⭐⭐,30+小时稳定
深度推理能力,GPT-5,4.5,⭐⭐⭐⭐,Scale MultiChallenge 69.6%
深度推理能力,Gemini 3 Pro,4.0,⭐⭐⭐⭐,WebDev Arena 1487 Elo
深度推理能力,Kimi K2.5,3.5,⭐⭐⭐⭐,数学推理强
深度推理能力,MiniMax M2.1,3.0,⭐⭐⭐,中等推理
长上下文处理,Gemini 3 Pro,5.0,⭐⭐⭐⭐⭐,1M tokens
长上下文处理,Kimi K2.5,4.5,⭐⭐⭐⭐⭐,国内最强
长上下文处理,Claude Opus 4.5,4.0,⭐⭐⭐⭐,compaction control优秀
长上下文处理,Claude Sonnet 4.5,4.0,⭐⭐⭐⭐,有效利用
长上下文处理,GPT-5,4.0,⭐⭐⭐⭐,400K tokens
长上下文处理,MiniMax M2.1,3.5,⭐⭐⭐⭐,足够日常使用
多模态能力,Gemini 3 Pro,5.0,⭐⭐⭐⭐⭐,视频分析最佳
多模态能力,GPT-5,4.5,⭐⭐⭐⭐,图像视频理解强
多模态能力,Claude Opus 4.5,4.0,⭐⭐⭐⭐,图像理解足够
多模态能力,Claude Sonnet 4.5,4.0,⭐⭐⭐⭐,基础多模态
多模态能力,MiniMax M2.1,3.0,⭐⭐⭐,基础图像处理
多模态能力,Kimi K2.5,3.0,⭐⭐⭐,基础图像处理
系统提示词遵循,Claude Opus 4.5,5.0,⭐⭐⭐⭐⭐,最严格
系统提示词遵循,Claude Sonnet 4.5,4.5,⭐⭐⭐⭐,平衡优秀
系统提示词遵循,GPT-5,4.0,⭐⭐⭐⭐,持续改进
系统提示词遵循,MiniMax M2.1,4.0,⭐⭐⭐⭐,国内领先
系统提示词遵循,Kimi K2.5,3.5,⭐⭐⭐⭐,良好
系统提示词遵循,Gemini 3 Pro,4.0,⭐⭐⭐⭐,良好
Agent场景优化,Claude Opus 4.5,5.0,⭐⭐⭐⭐⭐,20-30分钟自主工作
Agent场景优化,Claude Sonnet 4.5,4.5,⭐⭐⭐⭐,30+小时复杂任务
Agent场景优化,GPT-5,4.5,⭐⭐⭐⭐,长时间任务稳定
Agent场景优化,Gemini 3 Pro,4.0,⭐⭐⭐⭐,企业级任务处理
Agent场景优化,MiniMax M2.1,3.0,⭐⭐⭐,日常任务
Agent场景优化,Kimi K2.5,3.0,⭐⭐⭐,日常任务
API稳定性,Claude Opus 4.5,5.0,⭐⭐⭐⭐⭐,企业级稳定
API稳定性,Claude Sonnet 4.5,5.0,⭐⭐⭐⭐⭐,稳定可靠
API稳定性,GPT-5,5.0,⭐⭐⭐⭐⭐,大规模验证
API稳定性,MiniMax M2.1,4.0,⭐⭐⭐⭐,国内稳定
API稳定性,Kimi K2.5,3.5,⭐⭐⭐⭐,服务波动
API稳定性,Gemini 3 Pro,4.5,⭐⭐⭐⭐,良好
