参数,GLM-4.7,MiniMax M2.1,Kimi K2.5
发布厂商,智谱AI (Zhipu AI/Z.ai),MiniMax,Moonshot AI
发布时间,2024-12-22,2024-12-23,2026-01-27
参数规模,358B,230B,1T (MoE, 激活32B)
上下文窗口,200K tokens,1M tokens,256K tokens
最大输出,131K tokens,1M tokens,65K tokens
输入定价 ($/1M),0.60,0.27,0.45
输出定价 ($/1M),2.20,1.10-1.20,2.50
许可证,MIT,MIT,待确认
开源情况,开源权重,开源权重,部分开源
API兼容性,OpenAI兼容,OpenAI兼容,OpenAI兼容
工具调用稳定性,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐
代码生成质量,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐
系统提示词遵循,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐
API稳定性,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐
成本效益,⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐
中文理解,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐
Agent场景优化,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐⭐
生态完善度,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐
本地部署友好度,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐
工具调用特点,原生Function Calling,针对Robustness优化,200-300次连续调用不漂移
编程能力定位,SOTA级别超越GPT-5.2,超越Claude Sonnet 4.5,领先水平多模态支持
Agent范式,标准Agent,标准Agent,Agent Swarm自研范式
部署方式,云API+本地部署(vLLM/SGLang),云API,云API+部分开源
多模态支持,文本+图像,文本,文本+图像+视频
适用场景,代码生成/本地部署,多语言开发/成本敏感,视觉自动化/复杂Agent
